,Ticket status,Ticket ID,Create date_Year,Create date_Month,Create date_Quarter,Implementation Duration Days,Ticket status_Won,Ticket status_Lost,Response time hours,Training Completion Count,Requirements for the Trial_Assessment,Requirements for the Trial_Onboarding,Requirements for the Trial_Coaching
1,7,15899166073,2024,10,4,102,0,1,49.4,0,0,0,0
3,7,1891106581,2023,9,3,118,1,0,26.430833333333332,5,0,1,0
5,7,3049197180,2024,7,3,142,0,1,0.1,5,0,1,0
6,7,3049195860,2024,7,3,142,0,1,0.08305555555555555,5,0,1,0
7,7,3295514681,2024,9,3,101,1,0,156.10972222222222,0,0,1,0
8,7,1891162968,2023,8,3,128,0,1,17.849166666666665,0,0,0,1
9,7,2143836064,2023,12,4,63,1,0,73.07833333333333,0,0,0,1
10,7,2564027492,2024,4,2,230,1,0,793.4888888888889,4,0,1,1
14,7,19141467250,2025,1,1,0,1,0,138.24944444444444,0,0,0,0
15,7,3021671720,2024,7,3,115,1,0,272.04805555555555,0,0,1,1
16,7,1891053851,2023,6,2,357,1,0,2803.133611111111,5,0,1,1
17,7,2561463559,2024,4,2,51,1,0,137.30833333333334,4,0,0,0
19,7,2751871900,2024,5,2,86,1,0,166.665,1,0,0,0
20,7,2753363511,2024,5,2,120,1,0,156.84666666666666,1,0,1,1
23,7,2816667157,2024,6,2,102,1,0,1200.5247222222222,5,0,0,1
25,7,2076389147,2023,11,4,105,0,1,2307.927222222222,0,0,1,0
26,7,1877074317,2023,6,2,206,1,0,1246.9427777777778,4,0,1,0
27,6,1899348851,2023,9,3,189,0,0,233.7525,5,0,1,0
28,7,16736375605,2024,11,4,76,1,0,18.578055555555554,0,0,1,0
32,7,2599763331,2024,4,2,209,0,1,1.506388888888889,0,1,0,0
36,7,1891053939,2023,8,3,134,1,0,239.84222222222223,5,0,0,1
40,7,1891054117,2023,6,2,144,0,1,1801.0752777777777,3,0,0,1
41,7,1934587058,2023,9,3,84,0,1,5.284166666666667,0,0,1,0
44,7,16753716230,2024,11,4,63,0,1,1418.1425,0,0,0,0
45,7,3158836504,2024,8,3,134,0,1,49.9225,0,0,1,1
48,7,2080329216,2023,11,4,89,1,0,18.397222222222222,2,0,1,0
49,7,2987510567,2024,7,3,61,1,0,327.4263888888889,0,0,1,1
54,7,2554327103,2024,4,2,87,1,0,170.96055555555554,5,0,0,0
55,7,2564301460,2024,4,2,83,1,0,2546.215833333333,0,0,0,0
56,7,2564177725,2024,4,2,83,1,0,2546.2255555555557,0,0,0,0
57,7,2227268264,2024,1,1,51,0,1,0.04555555555555556,0,0,1,0
58,7,2116449037,2023,11,4,210,1,0,324.6041666666667,5,0,1,1
60,6,3095310856,2024,8,3,183,0,0,49.28388888888889,0,1,1,1
63,7,2987488033,2024,7,3,60,1,0,145.14027777777778,0,0,1,1
65,7,2744431115,2024,5,2,122,1,0,1408.5194444444444,5,0,1,0
67,7,1901122889,2023,9,3,188,1,0,366.41555555555556,5,0,0,1
72,6,2057988650,2023,11,4,151,0,0,27.064166666666665,0,0,1,0
73,7,1891060810,2023,8,3,83,1,0,148.5377777777778,4,0,1,0
77,7,2554419503,2023,11,4,190,1,0,43.731944444444444,0,0,0,0
